player_name;aces_2025;partidos_2025;1er_saque_pct_2025;1er_saque_ganado_pct_2025;2do_saque_ganado_pct_2025;juegos_saque_g_pct_2025;bp_salvados_pct_2025;resto_1er_pct_2025;resto_2do_pct_2025;bp_convertidos_pct_2025;juegos_resto_g_pct_2025;aces_2026;partidos_2026;1er_saque_pct_2026;1er_saque_ganado_pct_2026;2do_saque_ganado_pct_2026;juegos_saque_g_pct_2026;bp_salvados_pct_2026;resto_1er_pct_2026;resto_2do_pct_2026;bp_convertidos_pct_2026;juegos_resto_g_pct_2026;winpct_overall_52w;record_overall_52w;titulos_52w;winpct_tras_perder_set1_52w;record_tras_perder_set1_52w;winpct_tras_ganar_set1_52w;record_tras_ganar_set1_52w;winpct_set_decisivo_52w;record_set_decisivo_52w;winpct_5to_set_52w;record_5to_set_52w;winpct_tiebreak_52w;record_tiebreak_52w;winpct_finales_52w;record_finales_52w;winpct_grand_slams_52w;record_grand_slams_52w;titulos_gs_52w;winpct_masters_1000_52w;record_masters1000_52w;titulos_m1000_52w;winpct_en_hard_52w;record_en_hard_52w;titulos_hard_52w;winpct_vs_zurdos_52w;record_vs_zurdos_52w;winpct_vs_diestros_52w;record_vs_diestros_52w;winpct_vs_top10_52w;record_vs_top10_52w;atp_rank_current;atp_points_current;nombre_abrev;player_key
Taylor Fritz;585.0;52.0;64.12;78.97;53.44;88.97;68.51;27.16;52.02;38.91;19.45;316.0;20.0;68.53;79.52;51.49;88.73;68.0;25.46;47.71;25.78;11.91;662;47-24;0.0;355;11-20;0.9;36-4;0.68;17-8;1.0;2-0;618;34-21;0.0;0-4;0.75;12-4;0.0;647;11-6;0.0;648;35-19;0.0;286;2-5;703;45-19;357;5-9;7.0;3915.0;Fritz T.;taylor fritz
Reilly Opelka;565.0;33.0;63.54;80.5;51.52;90.14;73.58;20.11;41.65;31.68;7.71;264.0;11.0;72.64;81.32;58.33;94.87;79.49;19.16;42.43;35.29;7.69;424;14-19;0.0;77;1-12;0.65;13-7;364;4-7;0.0;0-2;567;17-13;;;333;2-4;0.0;0.5;7-7;0.0;464;13-15;0.0;0.2;1-4;464;13-15;;;;;Opelka R.;reilly opelka
Jakub Mensik;453.0;33.0;58.93;78.66;48.45;85.05;65.59;28.33;49.0;38.39;19.24;263.0;21.0;60.85;78.75;46.64;83.46;63.71;31.61;47.98;41.38;22.47;635;33-19;1.0;167;3-15;882;30-4;579;11-8;0.75;3-1;625;20-12;;;786;11-3;0.0;462;6-7;0.0;639;23-13;1.0;;;633;31-18;;;17.0;2295.0;Mensik J.;jakub mensik
Giovanni Mpetshi Perricard;435.0;32.0;67.78;79.52;54.37;91.07;70.09;20.64;36.19;30.85;7.32;249.0;14.0;71.77;77.03;49.1;86.08;61.97;22.61;34.88;30.19;8.12;0.4;18-27;0.0;0.16;4-21;0.7;14-6;0.45;9-11;0.0;0-2;571;24-18;;;;;;364;4-7;0.0;417;15-21;0.0;;;395;17-26;;;;;Mpetshi Perricard G.;giovanni mpetshi perricard
Aleksandar Kovacevic;234.0;27.0;58.83;75.81;48.44;83.38;61.81;23.91;46.41;30.43;14.98;239.0;17.0;62.75;80.69;55.49;91.93;64.71;20.21;43.53;32.26;9.22;383;18-29;0.0;133;4-26;824;14-3;429;9-12;;;0.4;12-18;;;;;;;;;417;15-21;0.0;0.4;2-3;381;16-26;;;;;Kovacevic A.;aleksandar kovacevic
Alexander Zverev;353.0;46.0;72.51;73.57;52.86;86.82;63.86;28.15;50.54;37.83;20.68;235.0;20.0;71.89;78.73;57.34;92.28;68.18;28.65;50.58;41.04;20.37;725;58-22;1.0;292;7-17;911;51-5;667;16-8;333;1-2;564;22-17;333;1-2;824;14-3;1.0;769;30-9;0.0;686;35-16;0.0;1.0;9-0;0.69;49-22;188;3-13;3.0;7190.0;Zverev A.;alexander zverev
Jannik Sinner;276.0;42.0;61.67;81.2;58.56;92.98;74.44;33.06;58.55;44.29;32.77;232.0;21.0;67.45;81.43;57.39;94.29;77.42;31.63;55.35;37.79;27.78;927;76-6;10.0;;;946;70-4;0.6;6-4;0.0;0-2;857;18-3;833;10-2;864;19-3;1.0;952;40-2;6.0;911;51-5;6.0;938;15-1;924;61-5;885;23-3;1.0;13450.0;Sinner J.;jannik sinner
Felix Auger-Aliassime;601.0;56.0;67.81;76.58;51.79;86.29;67.76;29.09;48.61;33.08;18.11;206.0;21.0;67.74;78.9;54.77;90.39;68.12;29.85;46.9;40.18;19.4;699;51-22;2.0;414;12-17;886;39-5;765;13-4;1.0;2-0;689;31-14;0.5;2-2;714;10-4;0.0;654;17-9;0.0;736;39-14;2.0;833;5-1;687;46-21;462;6-7;4.0;4440.0;Auger-Aliassime F.;felix auger aliassime
Ben Shelton;396.0;42.0;65.2;75.92;54.7;88.66;69.7;25.65;46.97;39.91;16.98;199.0;15.0;68.09;77.05;58.39;91.48;75.32;24.7;47.01;33.71;13.64;697;46-20;4.0;462;12-14;0.85;34-6;0.68;17-8;;;646;31-17;1.0;4-0;733;11-4;0.0;632;12-7;1.0;683;28-13;2.0;0.75;6-2;0.69;40-18;333;4-8;5.0;4160.0;Shelton B.;ben shelton
Alexander Bublik;373.0;31.0;61.03;79.92;45.55;86.13;70.62;24.91;46.02;36.94;15.76;195.0;17.0;64.5;77.14;52.62;88.24;71.74;26.72;46.08;37.93;14.73;651;41-22;4.0;0.24;6-19;921;35-3;647;11-6;0.5;1-1;531;17-15;1.0;4-0;0.6;6-4;0.0;533;8-7;0.0;667;26-13;2.0;444;4-5;685;37-17;0.3;3-7;11.0;2620.0;Bublik A.;alexander bublik
