tourney_date;tourney_name;surface;tourney_level;winner_name;loser_name;winner_rank;loser_rank;round;best_of;score;fecha
20200106;Atp Cup;Hard;A;Novak Djokovic;Daniil Medvedev;2.0;5.0;SF;3;6-1 5-7 6-4;2020-01-06
20200106;Doha;Hard;A;Laslo Djere;Lorenzo Sonego;39.0;51.0;R32;3;6-1 3-6 6-2;2020-01-06
20200106;Doha;Hard;A;Miomir Kecmanovic;Jordan Thompson;62.0;63.0;R32;3;6-4 6-2;2020-01-06
20200106;Doha;Hard;A;Marton Fucsovics;Frances Tiafoe;70.0;47.0;R32;3;6-4 4-6 6-4;2020-01-06
20200106;Doha;Hard;A;Alexander Bublik;Adrian Mannarino;55.0;43.0;R32;3;6-3 6-4;2020-01-06
20200106;Doha;Hard;A;Pierre Hugues Herbert;Laslo Djere;65.0;39.0;R16;3;6-1 6-3;2020-01-06
20200106;Doha;Hard;A;Andrey Rublev;Pierre Hugues Herbert;23.0;65.0;QF;3;6-4 6-3;2020-01-06
20200106;Doha;Hard;A;Miomir Kecmanovic;Marton Fucsovics;62.0;70.0;QF;3;6-2 6-0;2020-01-06
20200106;Doha;Hard;A;Andrey Rublev;Miomir Kecmanovic;23.0;62.0;SF;3;6-3 6-1;2020-01-06
20200106;Doha;Hard;A;Corentin Moutet;Stan Wawrinka;81.0;15.0;SF;3;3-6 7-5 6-3;2020-01-06
20200106;Doha;Hard;A;Andrey Rublev;Corentin Moutet;23.0;81.0;F;3;6-2 7-6(3);2020-01-06
20200106;Atp Cup;Hard;A;Alex De Minaur;Denis Shapovalov;18.0;14.0;RR;3;6-7(6) 6-4 6-2;2020-01-06
20200106;Atp Cup;Hard;A;Nick Kyrgios;Stefanos Tsitsipas;29.0;6.0;RR;3;7-6(7) 6-7(3) 7-6(5);2020-01-06
20200106;Atp Cup;Hard;A;Denis Shapovalov;Stefanos Tsitsipas;14.0;6.0;RR;3;7-6(6) 7-6(4);2020-01-06
20200106;Atp Cup;Hard;A;Nick Kyrgios;Jan Lennard Struff;29.0;35.0;RR;3;6-4 7-6(4);2020-01-06
20200106;Atp Cup;Hard;A;Gael Monfils;Cristian Garin;9.0;33.0;RR;3;6-3 7-5;2020-01-06
20200106;Atp Cup;Hard;A;Jan Lennard Struff;Felix Auger Aliassime;35.0;21.0;RR;3;6-1 6-4;2020-01-06
20200106;Atp Cup;Hard;A;Denis Shapovalov;Alexander Zverev;14.0;7.0;RR;3;6-2 6-2;2020-01-06
20200106;Atp Cup;Hard;A;Stefanos Tsitsipas;Alexander Zverev;6.0;7.0;RR;3;6-1 6-4;2020-01-06
20200106;Atp Cup;Hard;A;Daniil Medvedev;Casper Ruud;5.0;53.0;RR;3;6-3 7-6(6);2020-01-06
20200106;Atp Cup;Hard;A;Karen Khachanov;Taylor Fritz;17.0;31.0;RR;3;3-6 7-5 6-1;2020-01-06
20200106;Atp Cup;Hard;A;David Goffin;Grigor Dimitrov;11.0;20.0;RR;3;4-6 6-2 6-2;2020-01-06
20200106;Atp Cup;Hard;A;Yoshihito Nishioka;Nikoloz Basilashvili;72.0;26.0;RR;3;6-2 6-3;2020-01-06
20200106;Atp Cup;Hard;A;Alex De Minaur;Alexander Zverev;18.0;7.0;RR;3;4-6 7-6(3) 6-2;2020-01-06
20200106;Atp Cup;Hard;A;Novak Djokovic;Cristian Garin;2.0;33.0;RR;3;6-3 6-3;2020-01-06
20200106;Atp Cup;Hard;A;Novak Djokovic;Gael Monfils;2.0;9.0;RR;3;6-3 6-2;2020-01-06
20200106;Atp Cup;Hard;A;Nick Kyrgios;Cameron Norrie;29.0;52.0;QF;3;6-2 6-2;2020-01-06
20200106;Atp Cup;Hard;A;Novak Djokovic;Denis Shapovalov;2.0;14.0;QF;3;4-6 6-1 7-6(4);2020-01-06
20200106;Atp Cup;Hard;A;Roberto Bautista Agut;Nick Kyrgios;10.0;29.0;SF;3;6-1 6-4;2020-01-06
20200113;Auckland;Hard;A;Hubert Hurkacz;Lorenzo Sonego;34.0;52.0;R32;3;7-5 6-3;2020-01-13
20200113;Auckland;Hard;A;Ugo Humbert;Casper Ruud;57.0;46.0;R32;3;7-6(3) 2-6 6-3;2020-01-13
20200113;Auckland;Hard;A;Ugo Humbert;Denis Shapovalov;57.0;13.0;QF;3;7-5 6-4;2020-01-13
20200113;Adelaide;Hard;A;Alexander Bublik;Taylor Fritz;55.0;32.0;R32;3;6-4 7-6(4);2020-01-13
20200113;Adelaide;Hard;A;Laslo Djere;Alexei Popyrin;40.0;95.0;R32;3;7-6(3) 3-6 6-4;2020-01-13
20200113;Adelaide;Hard;A;Felix Auger Aliassime;James Duckworth;22.0;96.0;R16;3;6-3 7-6(0);2020-01-13
